epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3492.13,0.6223,1.01467,0.60395,0.93756,0.53663,0.81262,0.62153,0.53186,0.54365,0.82579,0.62916,0.51622,0.57843,0.97148,0.59282,0.91259,0.000142894,0.000142894,0.000142894
64,3547.82,0.61454,1.00026,0.59361,0.93452,0.5545,0.81454,0.63835,0.54174,0.56989,0.80134,0.64583,0.53119,0.57713,0.96504,0.57327,0.91185,0.000139231,0.000139231,0.000139231
65,3602.73,0.61419,0.99466,0.59446,0.93568,0.57283,0.75666,0.62008,0.53207,0.58253,0.77193,0.63104,0.52051,0.57024,0.96437,0.58607,0.90847,0.000135568,0.000135568,0.000135568
66,3657.96,0.61421,0.989,0.58721,0.9351,0.55565,0.79244,0.64153,0.54992,0.55784,0.79862,0.64897,0.53389,0.57082,0.97083,0.58398,0.90854,0.000131905,0.000131905,0.000131905
67,3713.4,0.60993,0.99889,0.58014,0.9343,0.60445,0.81667,0.68404,0.58398,0.61737,0.83452,0.70215,0.571,0.56967,0.95774,0.52861,0.90936,0.000128242,0.000128242,0.000128242
68,3769,0.60826,0.99171,0.57987,0.9312,0.55123,0.80374,0.62472,0.53913,0.55675,0.81245,0.63365,0.52371,0.56545,0.9572,0.57718,0.90743,0.000124579,0.000124579,0.000124579
69,3824.34,0.59992,0.98432,0.58204,0.93283,0.58805,0.79936,0.67346,0.58003,0.59863,0.81706,0.68767,0.56237,0.56535,0.96564,0.53685,0.90608,0.000120916,0.000120916,0.000120916
70,3879.24,0.6009,0.97718,0.5695,0.93107,0.55738,0.76644,0.6256,0.53691,0.56587,0.77532,0.63711,0.5252,0.57012,0.96373,0.58735,0.90848,0.000117253,0.000117253,0.000117253
71,3934.35,0.59696,0.97813,0.56317,0.92916,0.52178,0.7805,0.59902,0.51433,0.53061,0.79249,0.60847,0.5034,0.56608,0.96521,0.60865,0.90615,0.00011359,0.00011359,0.00011359
72,3989.98,0.5987,0.97387,0.56156,0.93071,0.56671,0.84406,0.65056,0.55966,0.57839,0.85437,0.66367,0.5449,0.55902,0.94468,0.54548,0.90168,0.000109927,0.000109927,0.000109927
73,4045.81,0.59249,0.97338,0.56528,0.9274,0.58547,0.78314,0.65654,0.56728,0.59612,0.7965,0.66904,0.55192,0.56056,0.94714,0.54234,0.90418,0.000106264,0.000106264,0.000106264
74,4101.41,0.59405,0.9618,0.55735,0.93012,0.55837,0.80255,0.62718,0.53989,0.56781,0.81602,0.63953,0.5273,0.56293,0.93877,0.56194,0.90487,0.000102601,0.000102601,0.000102601
75,4156.43,0.59506,0.96863,0.5604,0.92807,0.53746,0.76948,0.61461,0.52899,0.55,0.78116,0.62615,0.51648,0.565,0.96664,0.59053,0.90569,9.8938e-05,9.8938e-05,9.8938e-05
76,4211.74,0.58797,0.95729,0.55055,0.92887,0.56156,0.79501,0.64092,0.55361,0.57713,0.79704,0.65629,0.53989,0.56419,0.95852,0.55599,0.90729,9.5275e-05,9.5275e-05,9.5275e-05
77,4266.57,0.5876,0.95158,0.53885,0.92431,0.58627,0.77983,0.66267,0.56991,0.5933,0.78779,0.67308,0.55566,0.56253,0.96636,0.53971,0.90696,9.1612e-05,9.1612e-05,9.1612e-05
78,4321.72,0.58631,0.95443,0.54753,0.92444,0.58095,0.78085,0.66119,0.57027,0.58655,0.789,0.6693,0.54963,0.5573,0.96054,0.53616,0.9024,8.7949e-05,8.7949e-05,8.7949e-05
79,4377.37,0.58236,0.94452,0.5407,0.92415,0.54763,0.77545,0.62694,0.54193,0.5564,0.78948,0.63758,0.5279,0.56063,0.95763,0.58096,0.90495,8.4286e-05,8.4286e-05,8.4286e-05
80,4432.45,0.58235,0.95288,0.54085,0.92272,0.57165,0.74074,0.64413,0.55575,0.58314,0.75797,0.65606,0.54337,0.55832,0.95276,0.55714,0.90288,8.0623e-05,8.0623e-05,8.0623e-05
81,4487.5,0.58274,0.95185,0.53591,0.92507,0.56051,0.77362,0.63431,0.54626,0.57019,0.78684,0.64392,0.53043,0.56122,0.96355,0.57179,0.90572,7.696e-05,7.696e-05,7.696e-05
82,4542.54,0.57822,0.9433,0.53311,0.925,0.57215,0.83031,0.67171,0.5768,0.58072,0.84168,0.68236,0.56078,0.5575,0.95483,0.52819,0.90324,7.3297e-05,7.3297e-05,7.3297e-05
83,4597.94,0.57923,0.94246,0.53325,0.92203,0.54391,0.81032,0.64346,0.55508,0.55383,0.82747,0.65757,0.54257,0.56051,0.95986,0.5443,0.90573,6.9634e-05,6.9634e-05,6.9634e-05
84,4653.39,0.57216,0.9443,0.5318,0.91849,0.55318,0.78431,0.64005,0.55172,0.56642,0.79564,0.65113,0.53811,0.55487,0.94447,0.55474,0.90017,6.5971e-05,6.5971e-05,6.5971e-05
85,4708.75,0.57491,0.93446,0.53174,0.9216,0.56269,0.72734,0.63316,0.54556,0.57362,0.74418,0.64462,0.53194,0.55754,0.95837,0.57072,0.90516,6.2308e-05,6.2308e-05,6.2308e-05
86,4763.84,0.57249,0.9414,0.53079,0.91742,0.55754,0.80507,0.63526,0.54858,0.56918,0.80944,0.64703,0.5348,0.55444,0.95509,0.54206,0.90288,5.8645e-05,5.8645e-05,5.8645e-05
